,x-accelerometer,y-accelerometer,z-accelerometer,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),x-gyroscope,y-gyroscope,z-gyroscope,LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,timestamp
2,-0.2394,-1.0534,10.2759,-1.1571,-0.8308,9.7026,-0.1836,-0.079,0.6499,-0.0015,-0.1249,0.1197,0.0,138.18,-401.7,-27.12,198.32,4.86,6.8,35.781616,51.444416,4783.12,4837.143472,4.44,38.709675,185.62,14 / 14,3218506.0,2016-06-25 11:44:42:681
3,-1.6472,-0.6416,9.2129,-1.2961,-0.7047,9.695,-0.3511,0.0631,-0.4822,0.0593,-0.0773,0.0947,0.0,138.84,-400.44,-27.42,198.62,4.13,5.95,35.781612,51.444424,4782.78,4837.143472,4.15,19.35484,135.32,15 / 15,3219007.0,2016-06-25 11:44:43:182
4,-1.4748,0.431,10.0461,-0.9935,-0.1019,9.7557,-0.5484,0.4563,-0.3321,0.0571,-0.0254,0.0702,0.0,137.88,-401.4,-27.54,198.52,0.6,5.81,35.781612,51.444424,4782.78,4837.143472,4.15,19.35484,135.32,15 / 15,3219507.0,2016-06-25 11:44:43:682
5,-1.7526,1.245,11.0804,-0.9413,1.0776,9.7017,-0.8113,0.1674,1.3787,0.0489,-0.0443,0.051,0.0,138.0,-402.42,-27.48,198.76,-5.21,5.49,35.78161,51.444435,4782.52,4837.143472,4.08,25.806452,102.23,16 / 16,3220006.0,2016-06-25 11:44:44:181
6,-0.6991,-0.3065,11.5496,-0.9564,1.3047,9.6723,0.2573,-1.4004,1.1782,-0.0162,-0.0049,-0.0351,0.0,138.0,-402.48,-28.26,198.91,-7.65,5.65,35.78161,51.444435,4782.52,4837.143472,4.08,25.806452,102.23,16 / 16,3220507.0,2016-06-25 11:44:44:682
7,-0.6608,0.3065,9.8162,-0.8865,-0.0588,9.7663,0.19699999999999998,-0.0562,-0.1033,-0.0162,-0.069,-0.0791,0.0,138.72,-402.36,-27.54,198.67,0.34,5.19,35.78161,51.444447,4782.27,4837.143472,4.25,19.35484,92.0,15 / 16,3221006.0,2016-06-25 11:44:45:181
8,-0.7087,0.4884,10.1131,-0.6431,0.3501,9.7793,0.4611,0.3681,0.5541,-0.0113,0.0046,-0.0516,0.0,138.66,-403.68,-26.16,198.8,-2.05,3.76,35.78161,51.444447,4782.27,4837.143472,4.25,19.35484,92.0,15 / 16,3221506.0,2016-06-25 11:44:45:681
9,-0.6895,1.2929,9.845,-0.9865,0.8887,9.7164,0.862,0.3467,0.8564,0.0113,-0.0773,-0.0244,0.0,136.8,-402.66,-24.12,198.59,-3.97,4.96,35.78161,51.44447,4782.14,4837.143472,4.77,12.903226,77.26,15 / 16,3222006.0,2016-06-25 11:44:46:181
10,-0.8428,0.0096,8.9064,-0.6458,1.0041,9.7337,-0.2544,-0.9466,-1.0092,-0.0541,-0.0593,-0.0626,0.0,135.42,-405.12,-22.98,198.43,-5.88,3.8,35.78161,51.44447,4782.14,4837.143472,4.77,12.903226,77.26,15 / 16,3222506.0,2016-06-25 11:44:46:681
11,-0.5363,-0.7566,9.4427,-0.5409,0.2151,9.7894,-0.3114,-0.8376,0.2567,-0.0156,-0.0629,-0.0803,0.0,138.48,-404.76,-24.84,198.65,-1.26,3.16,35.78161,51.444496,4781.99,4837.143472,5.41,19.35484,82.36,15 / 16,3223006.0,2016-06-25 11:44:47:181
12,-0.9768,-0.9002,9.845,-0.6355,-0.4216,9.777000000000001,-0.0445,-0.1147,0.2021,0.0125,-0.0165,-0.0699,0.0,138.72,-405.72,-26.4,198.6,2.46,3.72,35.78161,51.444496,4781.99,4837.143472,5.41,19.35484,82.36,15 / 16,3223507.0,2016-06-25 11:44:47:682
13,-0.5938,-0.9194,10.0173,-0.7123,-0.797,9.7482,-0.14,-0.1702,-0.0948,0.0049,-0.0235,-0.0632,0.0,138.96,-405.06,-26.1,198.59,4.66,4.18,35.781612,51.444527,4782.03,4837.143472,5.8,19.35484,86.32,16 / 16,3224006.0,2016-06-25 11:44:48:181
14,-0.7853,-0.9577,9.8737,-1.0162,-1.4034,9.6524,0.1735,0.1393,0.0585,0.0238,-0.0476,-0.0266,0.0,137.58,-405.78,-27.0,198.25,8.23,6.01,35.781612,51.444527,4782.03,4837.143472,5.8,19.35484,86.32,16 / 16,3224506.0,2016-06-25 11:44:48:681
15,-0.8619,-0.9002,10.228,-1.3025,-1.1864,9.6471,0.4406,0.2861,0.5809,-0.0092,0.0162,0.0473,0.0,137.04,-406.74,-28.38,198.12,6.23,5.66,35.781616,51.444565000000004,4782.01,4837.143472,6.24,25.806452,94.7,16 / 16,3225007.0,2016-06-25 11:44:49:182
16,-0.8715,-1.6185,9.9982,-1.469,-1.0451,9.6395,0.473,-0.5255,0.3874,-0.0021,-0.08800000000000001,0.1335,0.0,138.24,-406.02,-29.64,197.87,6.12,8.66,35.781616,51.444565000000004,4782.01,4837.143472,6.24,25.806452,94.7,16 / 16,3225506.0,2016-06-25 11:44:49:681
17,-0.8619,-1.1013,9.8641,-1.3936,-0.7198,9.6804,-1.3646,0.557,1.4957,0.028999999999999998,-0.2159,0.1655,0.0,138.6,-405.36,-28.8,198.13,4.21,8.19,35.781624,51.444590000000005,4782.16,4837.143472,6.47,25.806452,84.99,16 / 16,3226007.0,2016-06-25 11:44:50:182
18,-1.7526,-0.0479,9.5672,-1.5309,-0.0929,9.686,-0.2121,0.1408,0.5612,0.015,-0.1164,0.1338,0.0,139.98,-404.22,-28.5,198.32,0.54,8.98,35.781624,51.444590000000005,4782.16,4837.143472,6.47,25.806452,84.99,16 / 16,3226507.0,2016-06-25 11:44:50:682
19,-1.561,0.2586,10.659,-1.1167,0.098,9.7424,-0.2624,1.1565,1.3284,0.0776,0.0082,0.1939,0.0,139.56,-403.38,-27.48,198.67,-0.57,6.54,35.781634999999994,51.44462,4782.33,4837.143472,6.59,25.806452,80.07,16 / 16,3227006.0,2016-06-25 11:44:51:181
20,-1.4653,1.3312,10.659,-1.5941,0.2401,9.6732,0.5023,0.708,0.6409999999999999,0.0657,-0.1002,0.3253,0.0,140.58,-399.9,-27.6,198.65,-1.4,9.36,35.781634999999994,51.44462,4782.33,4837.143472,6.59,25.806452,80.07,16 / 16,3227507.0,2016-06-25 11:44:51:682
21,-2.3080000000000003,0.9768,10.4675,-1.6501,0.8877,9.626,-0.0737,-0.1024,-0.5855,-0.0223,-0.1158,0.4035,0.0,141.96,-397.98,-27.66,199.1,-4.79,7.67,35.781634999999994,51.44462,4782.33,4837.143472,6.59,25.806452,80.07,16 / 16,3228007.0,2016-06-25 11:44:52:182
22,-1.8292,0.6033,9.9311,-1.5952,0.8343,9.64,0.4556,-0.4799,0.5114,-0.0498,-0.0669,0.4548,0.0,144.78,-393.42,-25.68,199.71,-4.88,9.4,35.781647,51.44465,4782.5,4837.143472,6.82,25.806452,69.28,16 / 16,3228507.0,2016-06-25 11:44:52:682
23,-1.8387,0.7566,10.5058,-1.9480000000000002,0.7602,9.5811,-0.2163,-0.2526,-0.1384,0.0354,-0.1026,0.4465,0.0,148.5,-390.12,-25.14,200.14,-4.45,11.49,35.781665999999994,51.444675,4782.62,4837.143472,7.26,51.612904,48.99,16 / 16,3229007.0,2016-06-25 11:44:53:182
24,-2.4804,1.3791,9.663,-1.5053,1.0713,9.631,-0.9751,0.3077,0.032,0.0272,-0.0779,0.4255,0.0,152.82,-387.96,-25.02,201.12,-5.94,9.08,35.781665999999994,51.444675,4782.62,4837.143472,7.26,51.612904,48.99,16 / 16,3229506.0,2016-06-25 11:44:53:681
25,-0.8619,2.059,10.5441,-1.2936,1.4813,9.6074,0.6903,0.7405,0.6398,0.0122,-0.0153,0.3351,0.0,156.06,-392.58,-29.04,201.58,-8.69,7.67,35.781684999999996,51.4447,4782.78,4837.143472,7.68,38.709675,39.65,16 / 16,3230007.0,2016-06-25 11:44:54:182
26,-0.1532,1.1109,11.2623,-1.0466,1.8207,9.5791,0.8933,-0.7098,1.6832,0.0217,-0.1542,0.1359,0.0,158.64,-391.74,-29.64,202.35,-10.6,6.16,35.781684999999996,51.4447,4782.78,4837.143472,7.68,38.709675,39.65,16 / 16,3230507.0,2016-06-25 11:44:54:682
27,0.2586,-0.1628,10.477,0.086,1.3651,9.7108,0.41200000000000003,-0.7714,0.4502,-0.0058,-0.0379,0.0275,0.0,159.06,-391.38,-29.28,202.48,-6.89,-0.54,35.78171,51.44471,4782.86,4837.143472,8.22,25.806452,10.16,16 / 16,3231007.0,2016-06-25 11:44:55:182
28,0.4884,-0.5555,10.094,0.4236,0.4564,9.7869,0.1031,-1.4428,-0.0856,0.0238,-0.0562,0.0333,0.0,159.0,-392.52,-30.3,202.25,-2.67,-2.48,35.78171,51.44471,4782.86,4837.143472,8.22,25.806452,10.16,16 / 16,3231507.0,2016-06-25 11:44:55:682
29,0.5171,0.8523,9.8067,0.4591,0.6235,9.776,-0.2389,-0.4128,0.4999,0.0046,-0.0657,0.0287,0.0,158.58,-394.74,-29.88,202.19,-3.65,-2.69,35.781734,51.444714000000005,4782.79,4837.143472,8.81,25.806452,0.45,16 / 16,3232007.0,2016-06-25 11:44:56:182
30,0.6704,0.2107,10.0365,0.5212,0.18899999999999997,9.791,0.3407,0.7591,0.0444,0.006999999999999999,-0.0342,0.0354,0.0,157.2,-395.7,-29.16,201.81,-1.1,-3.05,35.781734,51.444714000000005,4782.79,4837.143472,8.81,25.806452,0.45,16 / 16,3232507.0,2016-06-25 11:44:56:682
31,0.5746,-0.6991,10.3813,0.6325,0.2251,9.7836,-0.2207,0.5123,0.1858,0.0037,-0.0189,0.0241,0.0,156.78,-394.62,-28.62,201.9,-1.32,-3.7,35.781776,51.444714000000005,4783.13,4837.143472,9.66,51.612904,0.41,16 / 16,3233006.0,2016-06-25 11:44:57:181
32,0.6512,0.2969,9.3565,0.5241,0.0174,9.7926,0.1559,-0.6399,-0.302,0.0379,-0.0504,0.006999999999999999,0.0,157.14,-394.02,-28.68,201.89,-0.1,-3.06,35.781776,51.444714000000005,4783.13,4837.143472,9.66,51.612904,0.41,16 / 16,3233507.0,2016-06-25 11:44:57:682
33,0.4022,0.3735,9.8737,0.5209,0.0367,9.7927,-0.1187,0.3368,0.0809,-0.0418,-0.0418,0.0098,0.0,157.5,-395.34,-28.98,201.99,-0.05,-3.61,35.78181,51.444717,4783.67,4837.143472,10.37,38.709675,359.58,16 / 16,3234007.0,2016-06-25 11:44:58:182
34,0.4693,-0.6129,9.8928,0.5596,-0.3495,9.7844,-0.0904,-0.2634,0.1084,0.0086,-0.0293,0.0556,0.0,159.0,-395.52,-27.48,202.01,1.92,-3.13,35.78181,51.444717,4783.67,4837.143472,10.37,38.709675,359.58,16 / 16,3234506.0,2016-06-25 11:44:58:681
35,0.2777,0.1245,10.5058,0.2087,-0.026000000000000002,9.8044,0.0307,-0.0698,0.6439,0.0342,-0.044000000000000004,0.0599,0.0,160.26,-396.3,-27.18,202.11,-0.04,-2.13,35.78185,51.444720000000004,4784.52,4837.143472,10.86,38.709675,3.36,16 / 16,3235006.0,2016-06-25 11:44:59:181
36,0.3448,0.3448,10.2472,0.3076,0.2775,9.7979,0.085,-0.0285,0.2003,-0.0195,-0.0238,0.037000000000000005,0.0,161.22,-396.36,-25.92,202.25,-1.62,-1.8,35.78185,51.444720000000004,4784.52,4837.143472,10.86,38.709675,3.36,16 / 16,3235506.0,2016-06-25 11:44:59:681
37,0.565,-0.067,9.5385,0.2579,-0.0534,9.8031,0.3167,-0.0519,0.0227,0.0067,-0.0586,0.0254,0.0,161.7,-396.0,-26.28,202.32,0.31,-1.51,35.78185,51.444720000000004,4784.52,4837.143472,10.86,38.709675,3.36,16 / 16,3236006.0,2016-06-25 11:45:00:181
38,1.2641,-0.0287,10.2951,0.3506,-0.1889,9.7986,0.22399999999999998,0.1697,-0.0494,0.0302,-0.0644,-0.033,0.0,162.12,-396.6,-26.34,202.28,1.1,-2.05,35.781883,51.44473,4784.84,4837.143472,11.21,25.806452,2.22,15 / 16,3236507.0,2016-06-25 11:45:00:682
39,0.3639,0.8332,10.1514,0.5278,0.1343,9.7915,-0.6619,0.7659999999999999,0.1875,0.0205,-0.1643,-0.0803,0.0,162.12,-397.08,-26.34,202.35,0.38,-3.4,35.781918,51.44474,4785.28,4837.143472,11.37,25.806452,358.37,14 / 16,3237007.0,2016-06-25 11:45:01:182
40,0.0192,0.5555,9.8258,0.9446,0.3415,9.7551,-0.7435,0.1948,0.4442,0.022000000000000002,0.0208,-0.0956,0.0,161.34,-396.36,-25.86,202.37,-2.0,-5.53,35.781918,51.44474,4785.28,4837.143472,11.37,25.806452,358.37,14 / 16,3237506.0,2016-06-25 11:45:01:681
41,1.1588,-0.182,10.0461,0.7876,-0.0669,9.7747,0.3807,0.0381,0.1947,0.0156,-0.0501,-0.0846,0.0,160.56,-396.06,-25.2,202.29,-0.18,-3.82,35.781948,51.444748,4785.91,4837.143472,11.55,19.35484,358.31,13 / 16,3238006.0,2016-06-25 11:45:02:181
42,0.5267,-0.1532,10.6398,0.644,-0.1853,9.7837,0.1317,-0.0829,0.473,0.0064,-0.0626,-0.077,0.0,159.48,-395.04,-26.04,202.22,1.19,-4.1,35.781948,51.444748,4785.91,4837.143472,11.55,19.35484,358.31,13 / 16,3238507.0,2016-06-25 11:45:02:682
43,0.5267,-0.5746,10.228,0.5598,-0.40299999999999997,9.7824,0.036000000000000004,-0.0572,0.1009,0.0113,-0.0412,-0.048,0.0,158.34,-393.78,-26.04,201.99,2.36,-3.28,35.781948,51.444748,4785.91,4837.143472,11.55,19.35484,358.31,14 / 15,3239006.0,2016-06-25 11:45:03:181
44,0.4405,-0.4884,9.9024,0.37200000000000005,-0.5894,9.7818,-0.055999999999999994,0.0531,0.3983,-0.0082,-0.0376,0.0272,0.0,158.34,-392.34,-26.04,202.04,3.45,-2.18,35.781982,51.444756,4786.59,4837.143472,11.63,25.806452,358.75,14 / 15,3239507.0,2016-06-25 11:45:03:682
45,-0.0958,-0.7949,10.0173,0.1673,-0.7106,9.7794,-0.1865,-0.1609,0.5922,0.0052,-0.057999999999999996,0.0672,0.0,160.14,-391.32,-25.92,202.27,4.16,-0.98,35.781982,51.444756,4786.59,4837.143472,11.63,25.806452,358.75,14 / 15,3240007.0,2016-06-25 11:45:04:182
46,0.1245,-0.9098,10.2376,0.1305,-0.7061,9.7803,-0.1879,-0.1558,-0.1556,0.0202,-0.0629,0.1179,0.0,161.46,-389.22,-25.56,202.49,4.13,-0.76,35.78201,51.444756,4787.36,4846.412085,11.52,25.806452,355.56,15 / 15,3240507.0,2016-06-25 11:45:04:682
47,0.2107,-0.2203,10.2185,0.1198,-0.419,9.797,0.0909,0.1987,0.4215,0.0128,-0.109,0.15,0.0,163.26,-388.26,-26.04,202.8,3.29,-0.98,35.782032,51.44475,4788.01,4846.412085,11.15,19.35484,1.61,15 / 15,3241007.0,2016-06-25 11:45:05:182
48,-0.0096,0.431,10.1897,0.3016,0.1112,9.8014,-0.4549,0.2527,0.4171,0.0186,-0.1133,0.1732,0.0,163.8,-387.72,-27.06,203.03,0.05,-2.18,35.782032,51.44475,4788.01,4846.412085,11.15,19.35484,1.61,15 / 15,3241507.0,2016-06-25 11:45:05:682
49,0.2682,0.4022,9.912,0.3636,0.4919,9.7876,0.0482,-0.0035,0.9768,-0.0079,-0.0983,0.1426,0.0,166.26,-391.62,-27.24,203.12,-1.91,-2.46,35.782047,51.444744,4788.46,4846.412085,10.62,19.35484,2.63,16 / 16,3242006.0,2016-06-25 11:45:06:181
50,0.6608,0.3543,10.1323,0.7754,0.4016,9.7677,0.1823,-0.009000000000000001,0.8913,0.0458,-0.0547,0.0357,0.0,170.7,-389.22,-26.88,203.97,-2.35,-4.54,35.782047,51.444744,4788.46,4846.412085,10.62,19.35484,2.63,16 / 16,3242506.0,2016-06-25 11:45:06:681
51,0.7853,0.1915,10.6015,0.9904,0.163,9.7552,-0.2051,0.0286,0.8464,0.0342,-0.0672,-0.0483,0.0,169.74,-389.28,-26.82,203.84,-1.23,-5.15,35.782070000000004,51.444744,4788.82,4846.412085,10.23,19.35484,1.1,16 / 16,3243009.0,2016-06-25 11:45:07:184
52,1.1301,0.3256,9.9599,1.1513,0.2574,9.7354,-0.0404,0.1927,-0.2544,-0.0055,-0.0257,-0.0822,0.0,169.08,-389.22,-25.86,203.73,-1.59,-6.98,35.782070000000004,51.444744,4788.82,4846.412085,10.23,19.35484,1.1,16 / 16,3243514.0,2016-06-25 11:45:07:689
53,0.8906,1.0056,9.7683,1.1263,0.7056,9.7162,0.2432,-0.016,0.2245,-0.0092,-0.0767,-0.08800000000000001,0.0,168.9,-388.5,-25.68,203.82,-3.06,-6.86,35.782092999999996,51.444748,4789.0,4846.412085,9.93,25.806452,352.9,16 / 16,3244006.0,2016-06-25 11:45:08:181
54,0.7949,1.0343,10.343,1.3832,0.8701,9.6695,0.1395,-0.0274,0.2425,-0.0122,-0.0406,-0.1057,0.0,166.56,-388.5,-24.54,203.6,-4.92,-7.92,35.782092999999996,51.444748,4789.0,4846.412085,9.93,25.806452,352.9,16 / 16,3244506.0,2016-06-25 11:45:08:681
55,0.9098,0.1532,9.8354,1.3243,0.7212,9.69,-0.4145,-0.5679,0.1454,-0.0076,-0.0898,-0.0043,0.0,163.32,-389.16,-24.84,203.04,-4.34,-7.76,35.782115999999995,51.44475,4788.9,4846.412085,9.84,19.35484,355.29,16 / 16,3245007.0,2016-06-25 11:45:09:182
56,0.9002,0.68,10.1323,1.2689,0.4424,9.7141,-0.9624,0.3237,-0.281,0.062,-0.0993,-0.0247,0.0,161.4,-389.7,-24.96,202.69,-2.19,-7.33,35.782115999999995,51.44475,4788.9,4846.412085,9.84,19.35484,355.29,16 / 16,3245506.0,2016-06-25 11:45:09:681
57,0.7853,0.4118,10.0461,0.9848,0.4989,9.7443,-0.0846,-0.1158,0.8668,-0.0015,0.0165,-0.0076,0.0,160.62,-391.32,-24.0,202.63,-2.92,-5.77,35.782143,51.44475,4788.8,4846.412085,10.02,19.35484,358.93,16 / 16,3246006.0,2016-06-25 11:45:10:181
58,1.3599,0.747,9.7588,0.654,0.551,9.7693,0.4665,0.1003,1.0238,0.0287,0.0052,-0.0211,0.0,161.34,-393.72,-24.96,202.46,-3.22,-3.83,35.782143,51.44475,4788.8,4846.412085,10.02,19.35484,358.93,16 / 16,3246507.0,2016-06-25 11:45:10:682
59,0.2586,0.9864,8.8394,0.4457,0.5933,9.7785,0.6461,0.2112,-0.1251,0.0147,-0.0651,-0.0467,0.0,162.42,-394.98,-25.14,202.51,-2.75,-3.45,35.782177000000004,51.444748,4788.83,4846.412085,10.44,19.35484,359.55,16 / 16,3247007.0,2016-06-25 11:45:11:182
60,-0.1341,0.4214,8.7436,0.3991,0.6786,9.775,-0.3799,0.2791,-0.0833,-0.0195,-0.0657,-0.04,0.0,163.44,-394.26,-25.2,202.7,-3.97,-2.34,35.782177000000004,51.444748,4788.83,4846.412085,10.44,19.35484,359.55,16 / 16,3247506.0,2016-06-25 11:45:11:681
61,0.8619,-0.3448,11.3868,0.635,0.2903,9.7818,0.6196,-0.3956,-0.8466,-0.0049,-0.073,-0.0266,0.0,162.0,-394.26,-24.6,202.54,-1.7,-3.71,35.782222999999995,51.444744,4792.64,4846.412085,11.17,38.709675,359.53,16 / 16,3248007.0,2016-06-25 11:45:12:182
62,1.9824,-0.0383,11.1761,0.8490000000000001,0.2153,9.7675,1.4494,-0.6846,1.8875,-0.0027,-0.0745,-0.0076,0.0,161.34,-394.26,-24.42,202.43,-1.26,-4.97,35.782222999999995,51.444744,4792.64,4846.412085,11.17,38.709675,359.53,16 / 16,3248507.0,2016-06-25 11:45:12:682
63,1.0151,-0.1437,9.7205,1.0945,-0.0954,9.7449,-0.5486,-0.1152,0.1096,0.0281,-0.1628,-0.0018,0.0,160.44,-393.9,-25.98,202.34,-0.06,-6.4,35.782222999999995,51.444744,4792.64,4846.412085,11.17,38.709675,359.53,16 / 16,3249006.0,2016-06-25 11:45:13:181
64,0.2298,0.5842,11.0229,1.1557,0.0059,9.7383,-0.3129,0.7507,0.8441,-0.0034,-0.0531,0.0092,0.0,159.06,-395.52,-26.28,202.12,-0.03,-6.77,35.782265,51.444756,4798.58,4846.412085,11.6,38.709675,3.29,16 / 16,3249506.0,2016-06-25 11:45:13:681
65,0.316,-0.0575,9.8354,1.0319,0.0073,9.7522,-0.0934,-0.35200000000000004,0.9642,0.0443,0.0107,0.0938,0.0,158.7,-394.26,-26.22,202.2,0.07,-5.9,35.782303000000006,51.444767,4802.98,4846.412085,11.95,25.806452,359.33,16 / 16,3250006.0,2016-06-25 11:45:14:181
66,0.2011,-0.4884,8.4276,0.6962,-0.2216,9.7794,0.0316,-0.1135,0.2667,-0.0018,-0.098,0.1481,0.0,158.28,-393.66,-26.34,202.02,1.3,-4.07,35.782303000000006,51.444767,4802.98,4846.412085,11.95,25.806452,359.33,16 / 16,3250506.0,2016-06-25 11:45:14:681
67,2.2889,-1.4269,9.4523,1.0075,-0.5504,9.7392,0.1896,-0.9245,-0.4114,0.102,0.1451,0.2001,0.0,158.16,-392.58,-25.08,202.05,2.15,-3.83,35.782345,51.444767,4803.55,4846.412085,12.13,25.806452,354.13,16 / 16,3251019.0,2016-06-25 11:45:15:194
68,-1.063,-0.1437,7.92,0.2342,-0.0594,9.8037,0.5224,-0.4673,0.0987,0.0675,0.1869,0.1802,0.0,161.58,-391.44,-28.38,202.58,0.35,-1.37,35.782345,51.444767,4803.55,4846.412085,12.13,25.806452,354.13,16 / 16,3251506.0,2016-06-25 11:45:15:681
69,0.2203,0.6895,11.6454,-0.3543,0.6191,9.7807,-0.2299,0.1854,0.4282,-0.051,0.1454,0.1662,0.0,165.18,-392.28,-29.7,202.78,-3.15,2.52,35.782345,51.444767,4803.55,4846.412085,12.13,25.806452,354.13,16 / 16,3252006.0,2016-06-25 11:45:16:181
70,0.3926,0.5363,8.7628,-0.9888,0.4394,9.7468,0.96,0.0203,-1.2043,0.1222,-0.08,0.1374,0.0,169.56,-390.72,-30.0,203.15,-2.57,5.79,35.782394000000004,51.44477,4804.19,4846.412085,12.18,25.806452,1.26,16 / 16,3252507.0,2016-06-25 11:45:16:682
71,0.3065,0.2203,9.2225,-0.4574,0.5581,9.7801,-0.4428,0.2655,-0.1937,-0.1191,-0.1982,0.12,0.0,171.96,-391.08,-30.6,203.7,-3.26,2.68,35.782447999999995,51.444767,4804.91,4846.412085,12.1,38.709675,5.06,16 / 16,3253006.0,2016-06-25 11:45:17:181
72,-0.3065,0.4884,10.659,-0.062,0.1695,9.805,-0.2445,0.3189,0.8540000000000001,0.0027,-0.0779,0.1677,0.0,173.88,-391.08,-30.36,203.98,-0.9,0.55,35.782447999999995,51.444767,4804.91,4846.412085,12.1,38.709675,5.06,16 / 16,3253506.0,2016-06-25 11:45:17:681
73,-0.0287,0.0862,10.2759,-0.514,0.2463,9.7901,0.4853,-0.1601,0.4858,0.1298,-0.139,0.1509,0.0,177.24,-392.16,-29.76,204.25,-1.23,1.46,35.782447999999995,51.444767,4804.91,4846.412085,12.1,38.709675,5.06,16 / 16,3254007.0,2016-06-25 11:45:18:182
74,-0.1915,-0.1149,9.2703,-0.2275,0.4578,9.7933,-0.0981,0.2701,-0.4464,-0.1133,-0.0672,0.1323,0.0,179.94,-395.22,-31.2,204.6,-3.06,0.3,35.782513,51.444798,4805.58,4846.412085,11.75,19.35484,19.59,16 / 16,3254507.0,2016-06-25 11:45:18:682
75,-0.1053,0.2394,9.6534,0.19699999999999998,0.2809,9.8006,-0.3023,-0.0415,-0.1472,0.0238,-0.1008,0.1029,0.0,180.54,-394.98,-32.58,204.77,-1.26,-0.78,35.782536,51.44481,4806.31,4846.412085,11.16,19.35484,30.94,16 / 16,3255006.0,2016-06-25 11:45:19:181
76,0.7661,-0.5076,9.7396,0.5176,0.1165,9.7923,0.4018,0.2857,0.3591,0.0006,-0.0498,0.0052,0.0,181.8,-397.14,-32.7,204.82,-0.68,-3.03,35.782536,51.44481,4806.31,4846.412085,11.16,19.35484,30.94,16 / 16,3255506.0,2016-06-25 11:45:19:681
77,1.0918,-0.5076,10.6973,0.7588,0.0753,9.777000000000001,-0.098,-0.3148,-0.3342,0.0293,-0.0623,0.0043,0.0,181.92,-396.72,-32.7,204.88,0.16,-4.74,35.782536,51.44481,4806.31,4846.412085,11.16,19.35484,30.94,16 / 16,3256007.0,2016-06-25 11:45:20:182
78,0.6991,-0.7183,9.9024,0.9143,-0.4754,9.7524,-0.1577,-0.396,-0.0127,-0.0199,-0.0531,0.0199,0.0,181.92,-397.74,-32.04,204.82,2.78,-5.36,35.78255,51.444805,4806.98,4846.412085,10.6,25.806452,342.74,16 / 16,3256506.0,2016-06-25 11:45:20:681
79,0.8140000000000001,-0.7087,9.9407,0.8213,-0.71,9.7464,-0.0072,0.0971,0.2135,0.0082,-0.0327,0.0574,0.0,182.88,-397.56,-31.44,204.92,4.15,-4.82,35.782578,51.444794,4807.8,4846.412085,10.46,25.806452,331.2,16 / 16,3257007.0,2016-06-25 11:45:21:182
80,0.4118,-0.7087,10.0652,0.5987,-0.7138,9.7623,-0.1869,0.0051,0.3029,0.0226,-0.0327,0.0852,0.0,182.46,-397.92,-30.72,204.74,3.86,-3.59,35.782578,51.444794,4807.8,4846.412085,10.46,25.806452,331.2,16 / 16,3257507.0,2016-06-25 11:45:21:682
81,0.5746,-0.7661,9.7875,0.3853,-0.6687,9.7762,0.1893,-0.0975,0.0113,-0.0034,-0.0055,0.0883,0.0,183.0,-399.36,-31.8,204.78,4.03,-3.12,35.782578,51.444794,4807.8,4846.412085,10.46,25.806452,331.2,16 / 16,3258006.0,2016-06-25 11:45:22:181
82,0.5459,-0.9194,9.6726,0.521,-0.7227,9.7661,-0.2816,0.3492,-0.0744,-0.0241,-0.0519,0.0932,0.0,183.48,-400.44,-31.74,204.73,4.23,-3.05,35.782646,51.444720000000004,4808.51,4846.412085,10.59,25.806452,318.55,16 / 16,3258507.0,2016-06-25 11:45:22:682
83,0.7949,-0.6225,9.4427,0.2361,-0.8437,9.7674,1.2196,-0.0374,-0.2768,-0.0113,-0.0498,0.1405,0.0,185.22,-400.98,-31.44,204.8,4.94,-1.38,35.782646,51.444720000000004,4808.51,4846.412085,10.59,25.806452,318.55,16 / 16,3259006.0,2016-06-25 11:45:23:181
84,0.2586,-0.3735,11.157,0.3829,-0.8923,9.7585,-0.0669,0.0208,1.4847,-0.025,0.0336,0.1582,0.0,184.98,-401.4,-32.28,204.92,5.08,-3.16,35.782696,51.444664,4809.08,4846.412085,10.81,25.806452,314.77,16 / 16,3259507.0,2016-06-25 11:45:23:682
85,-0.0958,-0.5076,9.7588,0.0292,-0.7748,9.776,0.3635,0.4205,0.2605,-0.04,-0.28800000000000003,0.168,0.0,185.82,-402.66,-33.84,204.75,5.23,-0.64,35.782696,51.444664,4809.08,4846.412085,10.81,25.806452,314.77,16 / 16,3260007.0,2016-06-25 11:45:24:182
